"question","answer","option","explanation","image","categoryID","courseID","yearID"
"When a red rose flower is observed in blue light, what colour does the observer see?","C"," Red |   Blue |   Magenta |   yellow","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A broker is an agent who links a potential investor with","A","other Members of the exchange who wants to trade | a share holder who wants to register a company | government official on the exchange| a quoted company.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Second-Tier Securities Market differs from the First-Tier Securities market in that the former is","D","regulated by the SEC| highly restricted | regulated by the NIPC | less restricted","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The eclipse of the sun occurs when the","A","moon is between the sun and the earth |   earth is between the sun and the moon |   moon is not completely hidden in the earth's shadow |   moon's umbra falls on some part of the earth","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A cannon is fired from town X After how long is the sound heard at a town Y 4.95km away?[Velocity of sound in air = 330ms-1]","A","15s |   30s |   10s |   12s","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"An image in a convex lens is upright and magnified 3 times. If the focal length of the lens is 15cm, what is the object distance?","A","10cm |   25cm |   16cm |   14cm","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The capacitance of a parallel plate capacitor is 20μF in air and 60μF in the presence of a dielectric. What is the dielectric constant?","A","0.3 |   6.0 |   3.0 |   2.0","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"In the circuit above, three resistors, 2Ω, 4Ω and 12Ω are connected in parallel and a 12V battery is connected across the combination. The current flowing through the 12Ω resistor is","B","14.4A |   1.0A |   3.2A |   9.6A","","http://practa.ng/download/que_image/710cc131a732560e56b8491cc658ce67.png","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"If the charge of electricity per kWh is $4, what is the cost of operating an W electrical appliance rated 2.50V, 2A for 6 hours?",""," ₦16 |   ₦24 |   ₦28 |   ₦12","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The correct expression for the potential at a point, distance r from a charge in an electric field is","","q/4Πεr |   q2/4Πεr2 |   q/4Πεr2 |   q2/4Πεr","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"Three similar cells each of e.m.f 2V and internal reistance 2Ω are connected in parallel, the total e.m.f and total internal resistance are respectively",""," 6V, 6.0Ω |   2V, 0.7Ω |   2V, 6.0Ω |   6V, 0.7Ω","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"In homes, electrical appliances and lamps are connected in parallel because","C","parallel connection does not heat up the wires |  series connection uses high voltage |  less current will be used |   less voltage will be used","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"Two resistors 5W and 10W are arranged first in series and later in parallel to a 24V source. The ratio of total power dissipated in the series and parallel arrangements respectively is","A","5:3 |   1:50 |   50:1 |   3:5","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A communication process providing in ormation for decision- making in an organization is the","B"," Transmission Control Protocol | Management Information System|  lnfomwation Retrieval System | File Transfer Protocol.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The management ability of a supervisor in an organization may be underutilized if the","C","span of control is wide | morale of the supervised is high | span of control is narrow | morale of the supervised is low.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A radioactive isotope has a decay constant of 10-5s-1. Calculate its half life.",""," 6.93x104s |   6.93 x 105s |   6.93x10-6s |   6.93 x 10-5s","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The arrangement and interrelationship of the various components and positions of a business is referred to as","B"," clarity of objective| organizational structure| unity of direction| line structure.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"If the threshold frequency for tungsten is 1.3 x 1015Hz, what is its work function?[h = 6.6 x 10-34Js]",""," 8.58 x 10-19J |   8.58 x 1O-15J |   8.58 x 10-17J |   8.85 x 10-18J","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"In an a.c circuit, the ratio of r.m.s value to peak value of current is",""," 2 |   1/2 |   1/√2 |  √2","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The variety of goods and services which a company offers for sale is its","D","promotion mix |  place mix | price mix | product mix.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Activities undertaken to create awareness for goods by conducting contests is","C","consumerism | marketing concept | sales promotion | marketing mix.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Under which of the following conditions do gases conduct electricity?","B","Low pressure and low p.d |   Low pressure and high p.d |   High pressure and low p.d |   High pressure and high p.d","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"ln measuring high frequency a.c., the instrument used is the","D"," d.c. ammeter |   moving coil ammeter |   moving iron ammeter |   hot wire ammeter","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The slogan, a wonderful world, used by communication network is a for of","B","persuasive adverting | product differentiation | publicity| packaging.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"To make a simple contract valid, the intention must be","B","legal and binding|  legal and written | legal and attractive | legal and harmonious.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The bond between silicon and germanium is","A","covalent |   ionic |   dative |   electrovalent","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"Which of the following materials has an increase in resistance with temperature?","A","Water |   Metals |   Wood |   Electrolyte","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The electrical properties of germanium can be altered drastically by the addition of impurities. This process is referred to as","D","saturation |   bonding |   amplification |  doping","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The major parties to an agency relationship are the","C","bailee and bailor |  principal and the creditor | principal and the agent | shareholder and the creditor.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"One of the obligations of an employer to an employee is to","B","award scholarship to his children |  indemnify him against liabilities incurred on duty |  terminate his appointment without prior notice |  indemnify him against injuries caused through negligence.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The body charged with the responsibilities of regulating foods and drugs in Nigeria is the","C","NDLEA | SON |  NAFDAC | CAC.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Which Question Paper Type of Physics as indicated above is given to you?","A","Type Green |  Type Purple |  Type Red |  Type Yellow","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a265af34c0a3b8f0b1afe"
"An example of a computer operating system is","D","the World Perfect | the Page maker | Microsoft World 2000 | Windows 2000.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"In order to remove the error of parallax when taking measurements with a metre rule, the eye should be focused","C","slantingly towards the left on the markings |  slantingly towards the right on the markings |  vertically downwards on the markings |  vertically upwards on the markings","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a265af34c0a3b8f0b1afe"
"Intranet differs from extranet in that the former","B","can generally be accessed by the public| requires a modem before it could be used |  is restricted to employees of an organization | requires internet protocols.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A software application which enables a user to display and interact with texts, images and videos is the","D"," internet protocol | web server | coreldraw | web browser.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A predominant mark-up language for web page is","C"," HTTP|  IP | HTML| TCP.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The symbol @ in an internet mail address is used to","C","link the user with other internet users | separate the username from the machine name |  locate the addresses of the internet users | link the user with the machine.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A load is pulled at a uniform speed along a horizontal floor by a rope at 45o to floor. It the force in the rope is 1500N, what is the frictional force on the load?","D","1524N |  1350N |  126ON |  1061 N","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a265af34c0a3b8f0b1afe"
"A business organization is said to be socially responsible when it","B"," rewards its staff for long-term services | gets involved in issues relating to the society| offers discounts to customers | invites the public to its annual general meetings.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"One of the major benefits of commerce to government is to","B"," improve the standard of living | generate revenue forgrowth and development | encourage cooperation among public organizations| encourage the development of socio-cultural values.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"From the diagram above,OT is","B","18N |  14N |  5N |  2N","http://practa.ng/download/que_image/6d49d2667695aa8a917b761b3efc8ae3.jpg","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a265af34c0a3b8f0b1afe"
"An example of an activity in the construction industry is","B","blacksmithing | bricklaying | car assembling | shoemaking.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"One of the inputs in production that can be motivated by remuneration is","C","capital |  entrepreneur | labour | land.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The allocation of tasks to different skills in a production process is referred to as","C"," production technique|  production function| division of labour. | delegation of responsibility.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"From the velocity-time graph shown above,which of the following qualities cannot be determined?","D","Deceleration |  Initial velocity |  Total distance travelled |  Initial acceleration","","http://practa.ng/download/que_image/9836119d812f33b7e60e8c5709e6c2c6.jpg","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a265af34c0a3b8f0b1afe"
"The sales of goods through a medium that accepts money and delivers the items to the customer is","B"," an automated teller machine| a vending machine |a counting machine |a branding machine.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The main purpose of branding is to","A","create identity for a product | make a product look attractive | create product awareness | increase sales volume.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The sales of goods through a medium that accepts money and delivers the items to the customer is","B"," an automated teller machine| a vending machine |a counting machine |a branding machine.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Calculate the total distance covered by a train before coming to rest if its initial speed is 30ms-1 with a constant retardation of 0.1ms-2.","B"," 5500m |  4500m |  4200m |  3000m","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a265af34c0a3b8f0b1afe"
"The major problem encountered in international trade is that of","D","distance | differences in culture|  politics | differences in currency.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A car starts from rest and moves with a uniform acceleration of 30ms-1 for 20s. Calculate the distance covered at the end of the motion.","A"," 6km |  12km |  18km |  24km","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a265af34c0a3b8f0b1afe"
